weight,quality,color,clarity,table_percent,price,depth_percent
0.3,Premium,D,SI2,0.58,1.8489271422843963,0.624
1.01,Ideal,E,VVS2,0.56,2.217353948631385,0.627
0.72,Ideal,F,VS2,0.59,2.077314280663662,0.618
1.08,Very Good,G,SI2,0.57,2.1247733516779195,0.632
0.36,Premium,G,VS1,0.59,1.8852498123153938,0.623
0.53,Ideal,F,VS1,0.57,2.014369544936121,0.615
1.74,Premium,H,SI1,0.59,2.1948885175386716,0.621
0.33,Ideal,E,VVS2,0.56,1.928182510337699,0.598
0.32,Very Good,E,VS2,0.56,1.8800755502766229,0.629
0.27,Ideal,E,VVS2,0.57,1.899566988528933,0.618
0.63,Ideal,D,SI1,0.56,2.012767408411843,0.611
0.31,Ideal,G,VS2,0.56,1.8489271422843963,0.613
0.53,Ideal,F,VS1,0.55,2.022077224290265,0.62
0.7,Very Good,H,VS1,0.57,2.0374469849771595,0.622
0.74,Very Good,H,SI1,0.58,2.0533542069165174,0.624
1.29,Very Good,I,VS2,0.58,2.166421668181174,0.628
0.71,Ideal,D,SI1,0.55,2.090257834113685,0.621
0.32,Ideal,G,SI1,0.57,1.8293763327993617,0.623
0.52,Ideal,G,VS1,0.56,2.0083482515715905,0.615
0.42,Premium,G,VVS1,0.59,1.9561433253353424,0.593
1.06,Premium,E,SI2,0.62,2.1335745502597634,0.617
0.58,Ideal,I,VVS1,0.53,1.9967390499145936,0.623
1.5,Fair,I,SI1,0.63,2.1945543487803407,0.567
0.3,Ideal,G,IF,0.55,1.9110228900548727,0.62
1.0,Fair,F,VS1,0.56,2.1599841243950233,0.653
0.51,Ideal,F,VVS1,0.56,2.068254196039259,0.614
1.2,Premium,G,VS2,0.59,2.1928818279020823,0.582
0.41,Ideal,G,IF,0.55,1.9832059337990102,0.623
0.42,Ideal,E,VS1,0.57,1.9564260907832889,0.616
1.12,Premium,H,SI2,0.58,2.1348762485679367,0.619
1.22,Premium,I,SI1,0.59,2.1524596344164078,0.621
0.5,Very Good,H,SI1,0.61,1.9506133573258813,0.609
0.31,Premium,G,SI1,0.55,1.8539514894845026,0.624
0.56,Ideal,D,VS2,0.57,2.0324809528163335,0.615
0.32,Ideal,H,SI2,0.54,1.7984040119467235,0.619
0.72,Ideal,J,SI1,0.56,2.0182308106349396,0.617
1.08,Very Good,H,SI1,0.57,2.148617729696619,0.634
0.31,Good,D,SI1,0.57,1.8479822603243332,0.631
0.33,Ideal,G,IF,0.55,1.9245405804618736,0.619
0.7,Ideal,E,SI2,0.56,2.0322188983074962,0.62
2.53,Premium,H,SI2,0.57,2.2644677708809176,0.611
1.0,Good,H,SI1,0.56,2.123578037167921,0.649
0.37,Ideal,D,VS2,0.56,1.9494752152198096,0.613
0.3,Ideal,E,VVS1,0.56,1.9164813383645012,0.614
