weight,table_percent,price,depth_percent,quality_EN_Fair,quality_EN_Good,quality_EN_Ideal,quality_EN_Premium,quality_EN_Very Good,color_EN_D,color_EN_E,color_EN_F,color_EN_G,color_EN_H,color_EN_I,color_EN_J,clarity_EN_I1,clarity_EN_IF,clarity_EN_SI1,clarity_EN_SI2,clarity_EN_VS1,clarity_EN_VS2,clarity_EN_VVS1,clarity_EN_VVS2
0.3,0.58,6.353,0.624,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1.01,0.56,9.183,0.627,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.72,0.59,7.983,0.618,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1.08,0.57,8.371,0.632,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0.36,0.59,6.588,0.623,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0.53,0.57,7.496,0.615,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1.74,0.59,8.979,0.621,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0.33,0.56,6.877,0.598,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.32,0.56,6.554,0.629,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.27,0.57,6.683,0.618,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.63,0.56,7.484,0.611,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.31,0.56,6.353,0.613,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0.53,0.55,7.554,0.62,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0.7,0.57,7.671,0.622,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0.74,0.58,7.794,0.624,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1.29,0.58,8.727,0.628,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0.71,0.55,8.087,0.621,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.32,0.57,6.23,0.623,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0.52,0.56,7.451,0.615,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0.42,0.59,7.072,0.593,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1.06,0.62,8.445,0.617,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0.58,0.53,7.365,0.623,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0.3,0.55,6.76,0.62,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1.0,0.56,8.671,0.653,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0.51,0.56,7.911,0.614,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1.2,0.59,8.961,0.582,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
