weight,table_percent,price,depth_percent,quality_EN_Fair,quality_EN_Good,quality_EN_Ideal,quality_EN_Premium,quality_EN_Very Good,color_EN_D,color_EN_E,color_EN_F,color_EN_G,color_EN_H,color_EN_I,color_EN_J,clarity_EN_I1,clarity_EN_IF,clarity_EN_SI1,clarity_EN_SI2,clarity_EN_VS1,clarity_EN_VS2,clarity_EN_VVS1,clarity_EN_VVS2
0.3,0.58,1.8489271422843965,0.624,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1.01,0.56,2.217353948631385,0.627,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.72,0.59,2.077314280663662,0.618,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1.08,0.57,2.1247733516779195,0.632,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0.36,0.59,1.8852498123153936,0.623,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0.53,0.57,2.014369544936121,0.615,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1.74,0.59,2.194888517538672,0.621,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0.33,0.56,1.928182510337699,0.598,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.32,0.56,1.8800755502766229,0.629,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.27,0.57,1.899566988528933,0.618,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.63,0.56,2.012767408411843,0.611,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.31,0.56,1.8489271422843965,0.613,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0.53,0.55,2.022077224290265,0.62,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0.7,0.57,2.0374469849771595,0.622,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0.74,0.58,2.0533542069165174,0.624,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1.29,0.58,2.166421668181174,0.628,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0.71,0.55,2.090257834113685,0.621,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.32,0.57,1.8293763327993613,0.623,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0.52,0.56,2.0083482515715905,0.615,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0.42,0.59,1.9561433253353424,0.593,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1.06,0.62,2.1335745502597634,0.617,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0.58,0.53,1.9967390499145936,0.623,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
