weight,quality,color,clarity,depth_percent,table_percent,price,volume
0.3,Premium,D,SI2,0.624,0.58,6.353,49.437424
1.01,Ideal,E,VVS2,0.627,0.56,9.183,167.551728
0.72,Ideal,F,VS2,0.618,0.59,7.983,116.024916
1.08,Very Good,G,SI2,0.632,0.57,8.371,175.1412
0.36,Premium,G,VS1,0.623,0.59,6.588,57.73949999999999
0.53,Ideal,F,VS1,0.614,0.57,7.496,85.92584
1.74,Premium,H,SI1,0.621,0.59,8.979,279.291572
0.33,Ideal,E,VVS2,0.6,0.56,6.877,56.186496000000005
0.32,Very Good,E,VS2,0.629,0.56,6.554,52.6361
0.27,Ideal,E,VVS2,0.618,0.57,6.683,43.876352
0.63,Ideal,D,SI1,0.611,0.56,7.484,104.417424
0.31,Ideal,G,VS2,0.614,0.56,6.353,50.638686
0.53,Ideal,F,VS1,0.62,0.55,7.554,85.9638
0.7,Very Good,H,VS1,0.622,0.57,7.671,114.810696
0.74,Very Good,H,SI1,0.624,0.58,7.794,117.744768
1.29,Very Good,I,VS2,0.628,0.58,8.727,207.225018
0.71,Ideal,D,SI1,0.62,0.55,8.087,117.086976
0.32,Ideal,G,SI1,0.623,0.57,6.23,52.925292000000006
0.52,Ideal,G,VS1,0.616,0.56,7.451,86.52672
0.42,Premium,G,VVS1,0.593,0.59,7.072,70.15428
1.06,Premium,E,SI2,0.617,0.62,8.445,170.89019999999996
0.58,Ideal,I,VVS1,0.623,0.53,7.365,97.61472
0.3,Ideal,G,IF,0.62,0.55,6.76,50.667495
0.51,Ideal,F,VVS1,0.614,0.56,7.911,84.40283500000001
0.41,Ideal,G,IF,0.623,0.55,7.266,67.43385
0.42,Ideal,E,VS1,0.616,0.57,7.074,68.99904000000001
1.12,Premium,H,SI2,0.619,0.58,8.456,186.28686000000005
1.22,Premium,I,SI1,0.621,0.59,8.606,197.78752000000003
0.5,Very Good,H,SI1,0.609,0.61,7.033,81.04349
0.31,Premium,G,SI1,0.624,0.55,6.385,50.50458
